,Ticker,Stock Price,Market Capitalization,Stocks to Buy
0,A,140.04,40858206208.0,1.0
1,AAL,10.05,6599875072.0,21.0
2,AAP,62.19,3707910656.0,3.0
3,AAPL,226.05,3436886884352.0,0.0
4,ABBV,193.9,342493298688.0,1.0
5,ABT,111.0,193128906752.0,1.0
6,ACN,326.92,204777472000.0,0.0
7,ADBE,553.46,245404172288.0,0.0
8,ADI,223.19,110750670848.0,0.0
9,ADM,59.09,28253411328.0,3.0
10,ADP,264.09,107694579712.0,0.0
11,ADSK,248.23,53495795712.0,0.0
12,AEE,82.1,21905674240.0,2.0
13,AEP,96.94,51583713280.0,2.0
14,AES,17.26,12270548992.0,12.0
15,AFL,104.76,58668322816.0,2.0
16,AIG,73.56,47369031680.0,2.0
17,AIV,8.7,1231998208.0,24.0
18,AIZ,187.27,9699331072.0,1.0
19,AJG,285.08,62461026304.0,0.0
20,AKAM,100.5,15228362752.0,2.0
21,ALB,79.37,9328594944.0,2.0
22,ALGN,240.35,17953449984.0,0.0
23,ALK,34.78,4387809792.0,6.0
24,ALL,179.64,47432323072.0,1.0
25,ALLE,131.27,11437305856.0,1.0
26,AMAT,207.9,172135989248.0,1.0
27,AMCR,10.45,15103803392.0,20.0
28,AMD,148.56,240441376768.0,1.0
29,AME,162.69,37668593664.0,1.0
30,AMGN,321.44,172719046656.0,0.0
31,AMP,431.39,42357624832.0,0.0
32,AMT,219.85,102687973376.0,0.0
33,AMZN,177.06,1858350874624.0,1.0
34,ANET,353.89,111175606272.0,0.0
35,ANSS,325.48,28442591232.0,0.0
36,AON,332.05,72135204864.0,0.0
37,AOS,79.65,11616553984.0,2.0
38,APA,29.25,10819721216.0,7.0
39,APD,276.04,61367558144.0,0.0
40,APH,65.8,79242289152.0,3.0
41,APTV,68.93,16195792896.0,3.0
42,ARE,114.69,20062263296.0,1.0
43,ATO,129.21,20057655296.0,1.0
44,AVB,215.21,30606520320.0,1.0
45,AVGO,165.72,771406692352.0,1.0
46,AVY,212.97,17148153856.0,1.0
47,AWK,140.98,27471785984.0,1.0
48,AXP,251.71,178943672320.0,0.0
49,AZO,3212.87,54884818944.0,0.0
50,BA,179.99,110913978368.0,1.0
51,BAC,39.34,305261871104.0,5.0
52,BAX,36.12,18427627520.0,6.0
53,BBY,85.24,18387460096.0,2.0
54,BDX,236.33,68309291008.0,0.0
55,BEN,22.76,11903434752.0,9.0
56,BIIB,201.91,29410615296.0,1.0
57,BIO,325.58,9080230912.0,0.0
58,BK,65.61,48417427456.0,3.0
59,BKNG,3618.86,121320112128.0,0.0
60,BKR,34.94,34954674176.0,6.0
61,BLK,872.49,129240195072.0,0.0
62,BMY,49.36,100072464384.0,4.0
63,BR,208.71,24358336512.0,1.0
64,BSX,78.25,115233300480.0,2.0
65,BWA,32.64,7434379776.0,6.0
66,BXP,69.99,12393128960.0,3.0
67,C,61.4,117138923520.0,3.0
68,CAG,30.42,14572700672.0,7.0
69,CAH,109.85,26786371584.0,1.0
70,CARR,67.38,60827426816.0,3.0
71,CAT,343.48,166552764416.0,0.0
72,CB,273.41,110439604224.0,0.0
73,CBOE,202.94,21234423808.0,1.0
74,CBRE,111.73,34237538304.0,1.0
75,CCI,109.84,47732838400.0,1.0
76,CCL,15.46,20254611456.0,14.0
77,CDNS,281.0,76943417344.0,0.0
78,CDW,222.76,29755389952.0,0.0
79,CE,129.06,14101611520.0,1.0
80,CF,80.97,14607960064.0,2.0
81,CFG,41.23,18483408896.0,5.0
82,CHD,100.01,24483948544.0,2.0
83,CHRW,99.22,11636818944.0,2.0
84,CHTR,353.31,50431819776.0,0.0
85,CI,342.32,95695216640.0,0.0
86,CINF,131.12,20486189056.0,1.0
87,CL,101.99,83334701056.0,2.0
88,CLX,145.4,18009534464.0,1.0
89,CMA,56.22,7458707456.0,3.0
90,CMCSA,39.62,153428443136.0,5.0
91,CME,207.88,74856964096.0,1.0
92,CMG,52.47,71856611328.0,4.0
93,CMI,301.65,41340526592.0,0.0
94,CMS,66.45,19850541056.0,3.0
95,CNC,78.11,41088204800.0,2.0
96,CNP,25.79,16807885824.0,8.0
97,COF,139.56,53291823104.0,1.0
98,COO,94.14,18745157632.0,2.0
99,COP,111.18,129107779584.0,1.0
100,COST,870.59,385963032576.0,0.0
101,COTY,9.63,8357289472.0,22.0
102,CPB,49.1,14659000320.0,4.0
103,CPRT,51.31,49375510528.0,4.0
104,CRM,262.91,254759796736.0,0.0
105,CSCO,49.46,199264944128.0,4.0
106,CSX,33.42,64792686592.0,6.0
107,CTAS,764.86,77074178048.0,0.0
108,CTSH,75.86,37600616448.0,2.0
109,CTVA,53.8,37242888192.0,4.0
110,CVS,58.35,73403129856.0,3.0
111,CVX,147.27,267258232832.0,1.0
112,D,56.01,46988914688.0,3.0
113,DAL,40.15,25913573376.0,5.0
114,DD,80.18,33474750464.0,2.0
115,DE,377.92,104143413248.0,0.0
116,DFS,133.8,33593434112.0,1.0
117,DG,123.27,27106457600.0,1.0
118,DGX,151.38,16851168256.0,1.0
119,DHI,178.02,58005860352.0,1.0
120,DHR,269.32,194506407936.0,0.0
121,DIS,89.3,161953595392.0,2.0
122,DLR,149.6,49947254784.0,1.0
123,DLTR,98.78,21232168960.0,2.0
124,DOV,179.83,24719073280.0,1.0
125,DOW,53.91,37786652672.0,4.0
126,DPZ,442.91,15489980416.0,0.0
127,DRI,143.36,16982999040.0,1.0
128,DTE,121.89,25233668096.0,1.0
129,DUK,112.3,86718283776.0,1.0
130,DVA,150.3,12610169856.0,1.0
131,DVN,45.09,28235358208.0,4.0
