,Ticker,Price,Price-to-Earnings Ratio,Number of Shares to Buy,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score
0,UAL,42.07,4.7163677,475,0.06,1.3142768,0.32,0.24865723,0.08,4.311980369747899,0.04,2.1606712610040133,0.06,0.112
1,KSS,20.45,8.245968,977,0.28,0.59532475,0.02,0.13155335,0.02,6.836395687080564,0.34,1.3823666884494124,0.02,0.136
2,BWA,32.64,9.801802,612,0.46,1.2201413,0.24,0.51836425,0.24,5.458246551935981,0.14,3.9767833520249223,0.18,0.252
3,PVH,99.56,8.881355,200,0.36,1.1025592,0.18,0.6171091,0.28,7.1684685789129015,0.44,1.6327940811455848,0.04,0.26
4,VLO,149.82,8.488386,133,0.3,1.8865691,0.58,0.357324,0.16,5.2058628286848405,0.1,4.368174735045388,0.28,0.284
5,NOV,17.94,6.744361,1114,0.18,1.1072707,0.2,0.79369634,0.3,7.145642947368421,0.4,4.740371971631205,0.34,0.28400000000000003
6,TAP,53.63,9.840367,372,0.5,0.9273573,0.08,0.9316954,0.38,6.698807601003351,0.32,3.9234819703351036,0.16,0.288
7,UNM,55.03,8.080764,363,0.24,0.9892322,0.14,0.80679077,0.32,5.988045630418465,0.2,5.830733959886446,0.56,0.29200000000000004
8,APA,29.25,3.1655846,683,0.02,1.9946809,0.64,1.2146072,0.52,3.4295214080652334,0.02,4.39501236053939,0.3,0.3
9,DAL,40.15,5.760402,498,0.14,2.0786953,0.7,0.43105233,0.22,5.869220245544555,0.18,4.698167186843669,0.32,0.312
10,CVS,58.35,10.382563,342,0.6,0.97807497,0.12,0.20285234,0.04,8.747155506107067,0.72,2.593082926420606,0.1,0.316
11,LNC,31.35,3.2930672,637,0.04,0.76626015,0.06,0.3927623,0.18,24.193093911646585,1.0,5.830733959886446,0.56,0.368
12,GM,45.32,5.092135,441,0.08,0.72635186,0.04,0.28600818,0.1,8.872456889127065,0.74,8.334212400877835,0.9,0.372
13,WU,11.79,7.1890244,1696,0.2,9.034483,1.0,0.9336118,0.4,5.7325400477868405,0.16,3.3140769904468046,0.14,0.38
14,NUE,145.23,10.463256,137,0.64,1.66325,0.44,1.0542623,0.44,6.304903183102986,0.24,4.750693770495831,0.36,0.424
15,MPC,180.03,9.440482,111,0.42,2.8789139,0.88,0.40500337,0.2,6.48965120416912,0.26,5.369512061068702,0.4,0.432
16,CMCSA,39.62,10.537233,504,0.66,1.8479477,0.56,1.2668205,0.58,6.563216948797596,0.28,2.9031070592618793,0.12,0.44
17,WHR,96.71,9.990702,206,0.54,1.7174875,0.48,0.28708833,0.12,10.0870701056,0.86,3.9775513034700314,0.2,0.44
18,T,19.34,11.114943,1034,0.76,1.3168107,0.34,1.1348269,0.46,7.152716663533933,0.42,4.164808947873591,0.26,0.448
19,APTV,68.93,5.2022643,290,0.1,1.6032097,0.42,0.81039745,0.34,8.063770057131771,0.6,6.980471923233498,0.78,0.448
20,SYF,46.62,6.5111732,429,0.16,1.2864949,0.3,2.0992918,0.82,8.40612939961704,0.67,5.830733959886446,0.56,0.502
21,L,78.97,11.579179,253,0.9,1.0589767,0.16,1.0391121,0.42,7.337099056873334,0.5,5.830733959886446,0.56,0.508
22,DVN,45.09,8.153707,443,0.26,2.2560792,0.76,1.9142616,0.74,4.524495410792727,0.06,6.293154080864543,0.74,0.512
23,GL,96.89,8.760398,206,0.32,1.6688197,0.46,1.5386035,0.72,7.558407200867284,0.54,5.830733959886446,0.56,0.52
24,CINF,131.12,9.612903,152,0.44,1.6029534,0.4,1.9243087,0.76,7.226819958763242,0.46,5.830733959886446,0.56,0.524
25,ADM,59.09,11.770916,338,0.98,1.2752779,0.28,0.31828374,0.14,9.94945104112337,0.84,5.281300512711301,0.38,0.524
26,EOG,128.06,9.8888035,156,0.52,2.5004392,0.82,3.0207388,0.94,5.2941375470148735,0.12,4.0670834939964715,0.22,0.524
27,PHM,122.59,9.358015,163,0.4,2.2709842,0.8,1.5101726,0.7,7.073180446881677,0.36,5.577045664940137,0.42,0.536
28,F,10.51,10.947917,1902,0.7,0.95894164,0.1,0.23166254,0.06,15.919287489781798,0.94,10.412554138613862,0.96,0.5519999999999999
29,MRO,28.16,11.0,710,0.72,1.4046988,0.36,2.3899598,0.86,4.895665229949825,0.08,7.825023474430758,0.84,0.572
30,FOX,36.76,11.744408,544,0.96,1.582777,0.38,1.2548254,0.56,7.408837296042997,0.52,5.830733959886446,0.56,0.596
31,TPR,40.4,11.542857,495,0.84,3.210426,0.92,1.3941911,0.66,7.313551143899304,0.48,2.221662190408017,0.08,0.596
32,WYNN,76.29,9.831185,262,0.48,2.0500963618750006,0.67,1.191235,0.48,8.948597664595539,0.76,6.1519545558548865,0.72,0.622
33,ZION,46.59,11.226506,429,0.78,1.2319856,0.26,2.328664,0.84,8.40612939961704,0.67,5.830733959886446,0.56,0.622
34,HAL,31.38,10.425249,637,0.62,2.770861,0.84,1.1951326,0.5,6.654875584496124,0.3,7.875953673394496,0.86,0.624
35,FMC,63.2,5.4017096,316,0.12,1.730227,0.5,1.9314653,0.78,17.384626678947605,0.98,6.423101797924631,0.76,0.628
36,WFC,55.33,11.338115,361,0.82,1.1780111,0.22,2.407273,0.88,8.40612939961704,0.67,5.830733959886446,0.56,0.63
37,NRG,82.78,9.076755,241,0.38,5.7774987,0.98,0.5923559,0.26,7.6451508945874105,0.56,12.304798592947323,0.98,0.632
38,CHTR,353.31,11.273453,56,0.8,3.9158337,0.94,0.92266273,0.36,7.105332286175769,0.38,6.08448563910682,0.7,0.636
39,FANG,194.82,10.078634,102,0.56,1.9919025,0.62,3.9288626,0.98,6.1021546811802025,0.22,8.434779026893862,0.92,0.66
40,CE,129.06,7.3039045,154,0.22,1.967828,0.6,1.336139,0.64,14.303920015258749,0.92,10.28145803457549,0.94,0.664
41,HIG,110.46,11.627368,181,0.92,2.1161325,0.72,1.2693673,0.6,7.990465170356112,0.58,5.830733959886446,0.56,0.676
42,MO,51.32,8.848275,389,0.34,2.0500963618750006,0.67,4.335242,1.0,9.196600952068524,0.8,7.7595514085690285,0.82,0.726
43,CB,273.41,11.560677,73,0.86,1.809979,0.54,2.0597103,0.8,11.734830590469416,0.88,5.830733959886446,0.56,0.728
44,EBAY,55.5,10.797666,360,0.68,4.962446,0.96,2.6633463,0.9,11.89838154262319,0.9,4.142121218848743,0.24,0.736
45,PCAR,95.17,10.092258,210,0.58,2.8184323,0.86,1.4137449,0.68,8.983112889450341,0.78,7.4109944417797,0.8,0.74
46,IPG,31.22,11.562963,640,0.88,3.0571876,0.9,1.2467519,0.54,8.378762596170626,0.62,8.055471934737074,0.88,0.764
47,AFL,104.76,11.038989,190,0.74,2.2578075,0.78,3.0391796,0.96,9.479473161186517,0.82,5.830733959886446,0.56,0.772
48,DFS,133.8,11.809356,149,1.0,2.2379074,0.74,3.015298,0.92,8.40612939961704,0.67,5.830733959886446,0.56,0.778
49,LEN,171.76,11.708248,0,0.94,1.7548198,0.52,1.3071861,0.62,16.055969487062058,0.96,15.469321645033887,1.0,0.8079999999999999
